"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3858541453569","","","","","","","","","","10.3858541453351","","","","","","","","","","","","","","","10.385854145343","","","","","","","",
"Africa Eastern and Southern","AFE","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.247773059441354","","","","","","","","","","0.25663873479143","","","","","","","","","","","","","","","0.250800518313604","","","","","","","",
"Afghanistan","AFG","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Africa Western and Central","AFW","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.721944924560292","","","","","","","","","","0.721944924558806","","","","","","","","","","","","","","","0.721944924559911","","","","","","","",
"Angola","AGO","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.160554591714016","","","","","","","","","","0.160554591714757","","","","","","","","","","","","","","","0.16055459171434","","","","","","","",
"Albania","ALB","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7561400906132","","","","","","","","","","3.75614009062231","","","","","","","","","","","","","","","3.75614009062933","","","","","","","",
"Andorra","AND","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Arab World","ARB","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.540793455598358","","","","","","","","","","0.540842332818846","","","","","","","","","","","","","","","0.558047432167231","","","","","","","",
"United Arab Emirates","ARE","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.09434245038754","","","","","","","","","","4.09434245038626","","","","","","","","","","","","","","","4.09434245038579","","","","","","","",
"Argentina","ARG","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.621191850112472","","","","","","","","","","0.621191850114451","","","","","","","","","","","","","","","0.621191850113878","","","","","","","",
"Armenia","ARM","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"American Samoa","ASM","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0630311666522","","","","","","","","","","18.0630311666522","","","","","","","","","","","","","","","18.0630311667188","","","","","","","",
"Antigua and Barbuda","ATG","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.2368091876844","","","","","","","","","","17.2368091876758","","","","","","","","","","","","","","","17.2368091876745","","","","","","","",
"Australia","AUS","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.730610867314108","","","","","","","","","","0.730610867314312","","","","","","","","","","","","","","","0.73061086731368","","","","","","","",
"Austria","AUT","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Azerbaijan","AZE","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Burundi","BDI","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Belgium","BEL","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.39679076047058","","","","","","","","","","5.39679076046335","","","","","","","","","","","","","","","5.3967907604698","","","","","","","",
"Benin","BEN","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.13834932200447","","","","","","","","","","1.13834932199584","","","","","","","","","","","","","","","1.13834932200242","","","","","","","",
"Burkina Faso","BFA","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Bangladesh","BGD","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8661503621815","","","","","","","","","","15.866150362108","","","","","","","","","","","","","","","15.8661503621848","","","","","","","",
"Bulgaria","BGR","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.138744231990603","","","","","","","","","","0.138744231990258","","","","","","","","","","","","","","","0.138744231990312","","","","","","","",
"Bahrain","BHR","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.8052401946041","","","","","","","","","","33.8052401946142","","","","","","","","","","","","","","","33.8052401946887","","","","","","","",
"Bahamas, The","BHS","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.7363513985265","","","","","","","","","","69.7363513985253","","","","","","","","","","","","","","","69.7363513985034","","","","","","","",
"Bosnia and Herzegovina","BIH","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0057206347777961","","","","","","","","","","0.00572063477779148","","","","","","","","","","","","","","","0.0057206347777854","","","","","","","",
"Belarus","BLR","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Belize","BLZ","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.4503046517465","","","","","","","","","","12.4503046517403","","","","","","","","","","","","","","","12.4503046517218","","","","","","","",
"Bermuda","BMU","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.9649596756874","","","","","","","","","","35.9649596756605","","","","","","","","","","","","","","","35.9649596757665","","","","","","","",
"Bolivia","BOL","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Brazil","BRA","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.854755123915512","","","","","","","","","","0.854755123914851","","","","","","","","","","","","","","","0.854755123914608","","","","","","","",
"Barbados","BRB","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.23020558025895","","","","","","","","","","3.23020558026124","","","","","","","","","","","","","","","3.23020558026124","","","","","","","",
"Brunei Darussalam","BRN","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.50154133471408","","","","","","","","","","5.50154133470798","","","","","","","","","","","","","","","5.50154133471272","","","","","","","",
"Bhutan","BTN","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Botswana","BWA","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Central African Republic","CAF","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Canada","CAN","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.64634435614438","","","","","","","","","","0.646344356144365","","","","","","","","","","","","","","","0.646344356144417","","","","","","","",
"Central Europe and the Baltics","CEB","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.956439497895025","","","","","","","","","","0.956796819353066","","","","","","","","","","","","","","","0.959575367612466","","","","","","","",
"Switzerland","CHE","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","","","","","","","","","","","","0","","","","","","","",
"Channel Islands","CHI","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.53196018763288","","","","","","","","","","1.53196018763426","","","","","","","","","","","","","","","1.53196018762529","","","","","","","",
"China","CHN","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.81796649319484","","","","","","","","","","0.817966493194428","","","","","","","","","","","","","","","0.817966493195581","","","","","","","",
"Cote d'Ivoire","CIV","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.512809665148453","","","","","","","","","","0.512809665149963","","","","","","","","","","","","","","","0.51280966514918","","","","","","","",
"Cameroon","CMR","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.463427153686798","","","","","","","","","","0.463427153685896","","","","","","","","","","","","","","","0.463427153685928","","","","","","","",
"Congo, Dem. Rep.","COD","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0273775503207423","","","","","","","","","","0.0273775503207435","","","","","","","","","","","","","","","0.0273775503207665","","","","","","","",
"Congo, Rep.","COG","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.234273168222387","","","","","","","","","","0.234273168222604","","","","","","","","","","","","","","","0.234273168222491","","","","","","","",
"Colombia","COL","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.13495454013486","","","","","","","","","","1.13495454012845","","","","","","","","","","","","","","","1.13495454013941","","","","","","","",
"Comoros","COM","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.02107712975809","","","","","","","","","","4.02107712975914","","","","","","","","","","","","","","","4.02107712977609","","","","","","","",
"Cabo Verde","CPV","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.42512817792172","","","","","","","","","","5.4251281779008","","","","","","","","","","","","","","","5.42512817792104","","","","","","","",
"Costa Rica","CRI","Land area where elevation is below 5 meters (% of total land area)","AG.LND.EL5M.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.92573046978105","","","","","","","","","","2.92573046978711","","","","","","","","","","","","","","","2.92573046979411","","","","","","","",
