fight_id,A_hp,A_ac,A_attack_bonus,A_speed,A_dmg_main,A_dmg_backup,B_hp,B_ac,B_attack_bonus,B_speed,B_dmg_main,B_dmg_backup,starting_distance,winner
1,45,16,7,5,1d12+4,1d6+4,36,15,7,3,1d10+4,1d6+4,3.0,A
2,39,15,7,5,1d12+4,1d8+4,45,14,7,5,1d10+4,1d6+4,3.0,B
3,47,16,7,3,1d8+4,1d6+4,44,16,7,4,1d8+4,1d8+4,7.0,B
4,47,18,7,3,1d12+4,1d8+4,44,15,7,3,1d8+4,1d6+4,3.0,A
5,34,17,7,5,1d8+4,1d8+4,41,16,7,4,1d8+4,1d6+4,2.0,A
6,46,15,7,5,1d8+4,1d6+4,47,16,7,5,1d8+4,1d8+4,3.0,B
7,50,17,7,4,1d10+4,1d8+4,38,18,7,5,1d8+4,1d8+4,5.0,A
8,50,18,7,4,1d10+4,1d8+4,42,18,7,4,1d8+4,1d8+4,3.0,A
9,39,16,7,4,1d8+4,1d8+4,37,14,7,4,1d12+4,1d8+4,6.0,A
10,35,15,7,3,1d8+4,1d6+4,43,15,7,4,1d12+4,1d8+4,0.0,B
11,31,18,7,4,1d8+4,1d6+4,48,14,7,3,1d10+4,1d8+4,4.0,A
12,48,14,7,5,1d10+4,1d8+4,41,18,7,5,1d8+4,1d6+4,5.0,B
13,35,17,7,4,1d8+4,1d8+4,30,15,7,3,1d10+4,1d8+4,5.0,B
14,49,18,7,4,1d12+4,1d8+4,34,15,7,5,1d8+4,1d6+4,0.0,A
15,33,14,7,5,1d10+4,1d6+4,47,16,7,3,1d8+4,1d6+4,7.0,B
16,34,16,7,4,1d8+4,1d6+4,48,18,7,4,1d12+4,1d6+4,5.0,B
17,35,18,7,5,1d10+4,1d8+4,36,16,7,4,1d10+4,1d6+4,9.0,B
18,46,15,7,5,1d8+4,1d8+4,44,16,7,3,1d12+4,1d8+4,2.0,A
19,49,17,7,3,1d8+4,1d6+4,50,15,7,4,1d10+4,1d6+4,2.0,A
