fight_id,actor,action,hit,critical,damage,distance,start_distance,total_rounds,max_hp,hp,ac,attack_bonus,speed,dmg_main,dmg_backup
1,SYSTEM,start_distance,,,,,3,,,,,,,,
1,A,pre_fight_stats,,,,,,,36,36,16,7,5,1d12+4,1d6+4
1,B,pre_fight_stats,,,,,,,40,40,16,6,5,1d10+4,1d6+4
1,B,move,,,,0,,,,,,,,,
1,A,atk_main,True,False,13,0,,,,,,,,,
1,B,inflict_disadv,,,,0,,,,,,,,,
1,A,move,,,,0,,,,,,,,,
1,B,gain_adv,,,,0,,,,,,,,,
1,A,atk_main_forced,True,False,8,0,,,,,,,,,
1,B,move,,,,0,,,,,,,,,
1,A,gain_adv,,,,0,,,,,,,,,
1,B,gain_adv,,,,0,,,,,,,,,
1,A,gain_adv,,,,0,,,,,,,,,
1,B,atk_main,True,False,7,0,,,,,,,,,
1,A,atk_main_forced,True,False,6,0,,,,,,,,,
1,B,atk_main,True,False,10,0,,,,,,,,,
1,A,atk_main_forced,True,False,16,0,,,,,,,,,
1,SYSTEM,total_rounds,,,,,,8,,,,,,,
1,A,winner,,,,,,,,,,,,,
2,SYSTEM,start_distance,,,,,2,,,,,,,,
2,A,pre_fight_stats,,,,,,,49,49,16,7,5,1d12+4,1d8+4
2,B,pre_fight_stats,,,,,,,39,39,16,7,4,1d10+4,1d6+4
2,A,move,,,,0,,,,,,,,,
2,B,atk_main_forced,True,False,11,0,,,,,,,,,
2,A,gain_adv,,,,0,,,,,,,,,
2,B,gain_adv,,,,0,,,,,,,,,
2,A,gain_adv,,,,0,,,,,,,,,
2,B,atk_main_forced,True,True,19,0,,,,,,,,,
2,A,gain_adv,,,,0,,,,,,,,,
2,B,atk_main,False,False,0,0,,,,,,,,,
2,A,move,,,,0,,,,,,,,,
2,B,gain_adv,,,,0,,,,,,,,,
2,A,atk_main_forced,True,False,6,0,,,,,,,,,
2,B,atk_main,True,True,20,0,,,,,,,,,
2,SYSTEM,total_rounds,,,,,,6,,,,,,,
2,B,winner,,,,,,,,,,,,,
3,SYSTEM,start_distance,,,,,3,,,,,,,,
3,A,pre_fight_stats,,,,,,,36,36,16,6,4,1d10+4,1d6+4
3,B,pre_fight_stats,,,,,,,40,40,16,7,3,1d8+4,1d8+4
3,A,move_forced,,,,0,,,,,,,,,
3,B,move,,,,0,,,,,,,,,
3,A,gain_adv,,,,0,,,,,,,,,
3,B,atk_main,False,False,0,0,,,,,,,,,
3,A,move,,,,0,,,,,,,,,
3,B,move,,,,0,,,,,,,,,
3,A,inflict_disadv,,,,0,,,,,,,,,
3,B,atk_main,True,False,11,0,,,,,,,,,
3,A,move,,,,0,,,,,,,,,
3,B,gain_adv,,,,0,,,,,,,,,
3,A,atk_main,False,False,0,0,,,,,,,,,
3,B,gain_adv,,,,0,,,,,,,,,
3,A,move,,,,0,,,,,,,,,
3,B,inflict_disadv,,,,0,,,,,,,,,
3,A,inflict_disadv,,,,0,,,,,,,,,
3,B,gain_adv,,,,0,,,,,,,,,
3,A,atk_main,True,False,9,0,,,,,,,,,
