fight_id,A_hp,A_ac,A_attack_bonus,A_speed,A_dmg_main,A_dmg_backup,B_hp,B_ac,B_attack_bonus,B_speed,B_dmg_main,B_dmg_backup,starting_distance,winner
1,40,15,6,3,1d12+4,1d6+4,40,15,7,5,1d12+4,1d8+4,10.0,A
2,40,18,8,3,1d12+4,1d6+4,40,17,7,5,1d10+4,1d6+4,2.0,A
3,40,14,7,5,1d10+4,1d8+4,40,14,5,4,1d12+4,1d6+4,3.0,A
4,40,15,6,4,1d10+4,1d8+4,40,17,7,3,1d8+4,1d8+4,7.0,A
5,40,18,8,5,1d10+4,1d8+4,40,16,6,3,1d10+4,1d8+4,3.0,B
6,40,17,5,3,1d10+4,1d6+4,40,15,7,3,1d12+4,1d8+4,4.0,A
7,40,16,7,5,1d12+4,1d6+4,40,18,5,5,1d8+4,1d6+4,2.0,A
8,40,15,6,5,1d12+4,1d8+4,40,14,5,3,1d12+4,1d6+4,10.0,B
9,40,15,8,4,1d12+4,1d6+4,40,14,5,3,1d8+4,1d6+4,4.0,A
10,40,16,5,4,1d10+4,1d6+4,40,14,6,4,1d8+4,1d6+4,9.0,A
11,40,14,8,3,1d12+4,1d8+4,40,17,6,4,1d12+4,1d8+4,5.0,A
12,40,16,6,5,1d10+4,1d6+4,40,18,6,3,1d12+4,1d8+4,10.0,B
13,40,16,7,3,1d12+4,1d8+4,40,16,5,3,1d8+4,1d8+4,3.0,A
14,40,15,5,5,1d8+4,1d6+4,40,16,8,4,1d12+4,1d8+4,2.0,B
15,40,18,7,3,1d10+4,1d6+4,40,18,8,5,1d12+4,1d6+4,1.0,B
16,40,16,7,3,1d8+4,1d6+4,40,16,6,4,1d12+4,1d6+4,4.0,A
17,40,17,8,5,1d12+4,1d8+4,40,16,6,5,1d8+4,1d6+4,3.0,B
18,40,14,8,4,1d8+4,1d8+4,40,14,6,3,1d8+4,1d6+4,8.0,A
19,40,14,6,4,1d8+4,1d6+4,40,16,5,4,1d10+4,1d8+4,1.0,B
20,40,14,6,5,1d12+4,1d6+4,40,15,5,4,1d12+4,1d8+4,8.0,A
21,40,14,7,5,1d12+4,1d8+4,40,16,5,5,1d12+4,1d6+4,9.0,B
22,40,18,6,5,1d10+4,1d6+4,40,16,7,3,1d8+4,1d8+4,2.0,A
23,40,14,7,5,1d8+4,1d8+4,40,18,8,4,1d10+4,1d6+4,10.0,B
24,40,14,8,3,1d10+4,1d6+4,40,18,7,3,1d10+4,1d8+4,9.0,A
25,40,16,5,4,1d10+4,1d6+4,40,15,7,4,1d10+4,1d6+4,6.0,B
26,40,15,6,5,1d8+4,1d6+4,40,14,7,5,1d8+4,1d8+4,4.0,A
27,40,16,6,3,1d12+4,1d6+4,40,18,6,3,1d12+4,1d6+4,2.0,B
28,40,18,6,5,1d12+4,1d6+4,40,17,6,3,1d12+4,1d6+4,5.0,B
29,40,16,6,5,1d10+4,1d6+4,40,14,5,5,1d8+4,1d8+4,8.0,A
30,40,17,7,5,1d12+4,1d8+4,40,16,7,5,1d12+4,1d6+4,0.0,B
31,40,15,6,5,1d10+4,1d6+4,40,16,8,4,1d12+4,1d6+4,6.0,A
32,40,18,7,3,1d8+4,1d6+4,40,14,8,4,1d10+4,1d8+4,2.0,B
33,40,17,7,4,1d10+4,1d6+4,40,14,5,5,1d10+4,1d6+4,5.0,A
34,40,14,5,3,1d12+4,1d8+4,40,15,5,3,1d10+4,1d6+4,3.0,A
35,40,17,7,3,1d8+4,1d8+4,40,17,6,5,1d10+4,1d8+4,6.0,A
36,40,15,8,5,1d8+4,1d6+4,40,16,7,3,1d12+4,1d8+4,7.0,A
37,40,16,5,5,1d12+4,1d6+4,40,18,6,3,1d10+4,1d6+4,6.0,A
38,40,14,7,5,1d8+4,1d8+4,40,17,6,4,1d10+4,1d6+4,9.0,A
39,40,15,7,4,1d8+4,1d6+4,40,14,7,5,1d12+4,1d8+4,5.0,A
40,40,17,7,3,1d12+4,1d8+4,40,17,5,3,1d12+4,1d6+4,1.0,A
41,40,17,6,3,1d10+4,1d8+4,40,14,6,5,1d8+4,1d6+4,2.0,B
42,40,17,6,5,1d8+4,1d8+4,40,15,6,3,1d12+4,1d6+4,2.0,A
43,40,15,7,4,1d8+4,1d8+4,40,14,7,3,1d8+4,1d6+4,1.0,A
44,40,16,5,3,1d8+4,1d8+4,40,14,5,3,1d8+4,1d8+4,10.0,B
45,40,17,6,3,1d10+4,1d6+4,40,15,5,5,1d8+4,1d8+4,9.0,A
46,40,16,6,4,1d12+4,1d8+4,40,14,7,3,1d12+4,1d8+4,1.0,A
47,40,15,8,5,1d12+4,1d6+4,40,14,7,4,1d10+4,1d6+4,2.0,B
48,40,14,5,3,1d10+4,1d6+4,40,16,8,3,1d8+4,1d8+4,5.0,A
49,40,16,6,3,1d10+4,1d8+4,40,16,6,4,1d12+4,1d6+4,2.0,A
50,40,14,7,5,1d10+4,1d8+4,40,17,5,4,1d12+4,1d6+4,8.0,A
51,40,18,8,5,1d12+4,1d8+4,40,18,5,4,1d12+4,1d6+4,6.0,B
52,40,16,6,4,1d10+4,1d6+4,40,18,6,4,1d8+4,1d6+4,5.0,A
53,40,14,7,4,1d10+4,1d6+4,40,16,8,3,1d10+4,1d8+4,1.0,B
54,40,16,7,3,1d8+4,1d8+4,40,14,7,3,1d8+4,1d6+4,1.0,B
55,40,16,8,5,1d12+4,1d8+4,40,14,7,5,1d10+4,1d8+4,2.0,B
56,40,14,7,4,1d12+4,1d8+4,40,16,7,3,1d12+4,1d8+4,10.0,B
57,40,16,6,5,1d8+4,1d6+4,40,14,5,4,1d10+4,1d6+4,1.0,A
58,40,14,6,3,1d10+4,1d8+4,40,14,7,4,1d12+4,1d8+4,3.0,A
59,40,17,8,3,1d10+4,1d6+4,40,16,7,4,1d8+4,1d8+4,0.0,A
60,40,17,6,3,1d8+4,1d6+4,40,18,7,3,1d12+4,1d8+4,4.0,A
61,40,16,6,3,1d12+4,1d8+4,40,15,7,4,1d8+4,1d8+4,3.0,B
62,40,14,6,4,1d12+4,1d6+4,40,18,8,4,1d12+4,1d6+4,9.0,B
63,40,15,6,4,1d12+4,1d8+4,40,17,8,5,1d12+4,1d8+4,10.0,B
64,40,16,6,3,1d8+4,1d6+4,40,17,8,3,1d12+4,1d8+4,9.0,B
65,40,14,5,3,1d12+4,1d8+4,40,18,6,3,1d8+4,1d6+4,5.0,B
66,40,16,7,5,1d8+4,1d8+4,40,15,7,3,1d12+4,1d8+4,7.0,A
67,40,18,8,4,1d12+4,1d6+4,40,16,6,5,1d10+4,1d6+4,4.0,A
68,40,15,7,5,1d10+4,1d6+4,40,17,7,4,1d10+4,1d6+4,5.0,A
69,40,15,7,4,1d10+4,1d6+4,40,15,6,4,1d8+4,1d8+4,3.0,A
70,40,18,6,5,1d12+4,1d6+4,40,15,7,5,1d8+4,1d8+4,4.0,A
71,40,18,7,5,1d8+4,1d8+4,40,18,7,5,1d8+4,1d8+4,8.0,B
72,40,14,7,3,1d12+4,1d6+4,40,16,7,5,1d10+4,1d8+4,8.0,B
73,40,15,7,3,1d10+4,1d6+4,40,17,6,3,1d12+4,1d6+4,7.0,A
74,40,17,5,4,1d12+4,1d6+4,40,18,8,5,1d10+4,1d6+4,2.0,A
