fight_id,A_hp,A_ac,A_attack_bonus,A_speed,A_dmg_main,A_dmg_backup,B_hp,B_ac,B_attack_bonus,B_speed,B_dmg_main,B_dmg_backup,starting_distance,winner
1,48,17,5,4,1d10+4,1d8+4,43,17,8,4,1d10+4,1d8+4,9.0,B
2,46,17,8,4,1d8+4,1d8+4,31,14,5,4,1d10+4,1d6+4,10.0,A
3,44,17,8,4,1d8+4,1d6+4,36,17,5,4,1d12+4,1d6+4,5.0,B
4,35,16,6,4,1d10+4,1d6+4,47,15,6,4,1d8+4,1d8+4,9.0,B
5,49,16,7,4,1d10+4,1d8+4,48,14,6,4,1d8+4,1d6+4,6.0,A
6,36,15,5,4,1d10+4,1d8+4,46,16,8,4,1d12+4,1d6+4,6.0,B
7,43,15,6,4,1d10+4,1d8+4,50,16,7,4,1d12+4,1d8+4,1.0,B
8,30,14,7,4,1d12+4,1d6+4,32,18,8,4,1d12+4,1d6+4,4.0,B
9,30,18,5,4,1d10+4,1d8+4,48,14,6,4,1d8+4,1d8+4,5.0,B
10,32,18,6,4,1d12+4,1d8+4,32,16,7,4,1d10+4,1d8+4,7.0,B
11,43,17,5,4,1d12+4,1d6+4,42,16,6,4,1d12+4,1d8+4,10.0,B
12,48,17,7,4,1d8+4,1d6+4,32,16,5,4,1d12+4,1d8+4,1.0,A
13,39,16,6,4,1d12+4,1d8+4,36,17,8,4,1d10+4,1d8+4,8.0,B
14,45,18,7,4,1d8+4,1d6+4,43,16,7,4,1d12+4,1d6+4,5.0,A
15,39,17,7,4,1d10+4,1d8+4,34,15,6,4,1d8+4,1d6+4,4.0,A
16,35,14,7,4,1d8+4,1d8+4,36,16,7,4,1d12+4,1d8+4,9.0,B
17,30,14,5,4,1d8+4,1d8+4,47,14,6,4,1d8+4,1d8+4,10.0,A
18,38,17,6,4,1d8+4,1d8+4,40,17,8,4,1d12+4,1d8+4,9.0,B
19,36,16,7,4,1d10+4,1d8+4,38,18,6,4,1d10+4,1d6+4,10.0,A
20,33,16,6,4,1d10+4,1d8+4,45,14,7,4,1d8+4,1d6+4,7.0,B
21,38,15,6,4,1d8+4,1d6+4,43,14,8,4,1d12+4,1d8+4,4.0,A
22,42,15,6,4,1d8+4,1d6+4,50,14,6,4,1d10+4,1d8+4,6.0,A
23,35,18,8,4,1d8+4,1d6+4,41,18,5,4,1d8+4,1d8+4,10.0,B
24,41,18,6,4,1d12+4,1d6+4,38,14,5,4,1d8+4,1d8+4,4.0,A
25,41,15,5,4,1d10+4,1d6+4,30,18,5,4,1d12+4,1d6+4,0.0,B
26,36,16,8,4,1d12+4,1d6+4,42,18,8,4,1d8+4,1d6+4,10.0,A
27,50,18,8,4,1d10+4,1d6+4,38,16,5,4,1d8+4,1d6+4,2.0,A
28,46,14,8,4,1d10+4,1d6+4,44,14,7,4,1d8+4,1d8+4,1.0,B
29,35,15,5,4,1d12+4,1d6+4,30,15,8,4,1d8+4,1d6+4,2.0,B
30,39,18,6,4,1d8+4,1d6+4,35,17,5,4,1d10+4,1d8+4,10.0,A
31,33,16,7,4,1d8+4,1d8+4,45,16,7,4,1d12+4,1d6+4,7.0,A
32,50,17,7,4,1d10+4,1d8+4,36,18,6,4,1d8+4,1d6+4,3.0,A
33,50,18,8,4,1d8+4,1d8+4,47,14,6,4,1d8+4,1d8+4,0.0,A
34,45,16,6,4,1d8+4,1d6+4,32,15,8,4,1d8+4,1d8+4,9.0,A
35,38,16,7,4,1d10+4,1d6+4,50,14,7,4,1d12+4,1d6+4,1.0,B
36,48,16,5,4,1d10+4,1d6+4,36,17,5,4,1d12+4,1d8+4,9.0,A
37,43,18,6,4,1d8+4,1d8+4,35,17,5,4,1d10+4,1d6+4,8.0,A
38,45,15,6,4,1d12+4,1d8+4,31,18,7,4,1d8+4,1d8+4,2.0,A
