fight_id,actor,action,hit,critical,damage,distance,start_distance,total_rounds,max_hp,hp,ac,attack_bonus,speed,dmg_main,dmg_backup
1,SYSTEM,start_distance,,,,,9,,,,,,,,
1,A,pre_fight_stats,,,,,,,48,48,17,5,4,1d10+4,1d8+4
1,B,pre_fight_stats,,,,,,,43,43,17,8,4,1d10+4,1d8+4
1,A,move,,,,5,,,,,,,,,
1,B,atk_backup,True,False,9,5,,,,,,,,,
1,A,atk_backup,True,False,5,5,,,,,,,,,
1,A,atk_backup,False,False,0,5,,,,,,,,,
1,B,atk_backup,True,False,8,5,,,,,,,,,
1,A,move_forced,,,,1,,,,,,,,,
1,B,atk_backup,True,False,11,1,,,,,,,,,
1,A,move,,,,0,,,,,,,,,
1,B,atk_main_forced,True,False,6,0,,,,,,,,,
1,A,atk_main_forced,True,False,6,0,,,,,,,,,
1,B,inflict_disadv,,,,0,,,,,,,,,
1,A,atk_main_forced,True,False,9,0,,,,,,,,,
1,B,atk_main,True,False,5,0,,,,,,,,,
1,A,inflict_disadv,,,,0,,,,,,,,,
1,B,atk_main,False,False,0,0,,,,,,,,,
1,A,inflict_disadv,,,,0,,,,,,,,,
1,B,move,,,,0,,,,,,,,,
1,A,inflict_disadv,,,,0,,,,,,,,,
1,B,inflict_disadv,,,,0,,,,,,,,,
1,A,inflict_disadv,,,,0,,,,,,,,,
1,B,atk_main,True,False,6,0,,,,,,,,,
1,A,gain_adv,,,,0,,,,,,,,,
1,B,gain_adv,,,,0,,,,,,,,,
1,A,atk_main,True,False,9,0,,,,,,,,,
1,B,atk_main_forced,True,False,9,0,,,,,,,,,
1,SYSTEM,total_rounds,,,,,,15,,,,,,,
1,B,winner,,,,,,,,,,,,,
2,SYSTEM,start_distance,,,,,10,,,,,,,,
2,A,pre_fight_stats,,,,,,,46,46,17,8,4,1d8+4,1d8+4
2,B,pre_fight_stats,,,,,,,31,31,14,5,4,1d10+4,1d6+4
2,B,move,,,,6,,,,,,,,,
2,A,move_forced,,,,2,,,,,,,,,
2,B,move,,,,0,,,,,,,,,
2,A,inflict_disadv,,,,0,,,,,,,,,
2,B,atk_main_forced,False,False,0,0,,,,,,,,,
2,A,atk_main,True,False,10,0,,,,,,,,,
2,B,atk_main,False,False,0,0,,,,,,,,,
2,A,atk_main,False,False,0,0,,,,,,,,,
2,B,move,,,,0,,,,,,,,,
2,A,atk_main,True,False,5,0,,,,,,,,,
2,B,inflict_disadv,,,,0,,,,,,,,,
2,A,atk_main,False,False,0,0,,,,,,,,,
2,B,gain_adv,,,,0,,,,,,,,,
