fight_id,A_hp,A_ac,A_attack_bonus,A_speed,A_dmg_main,A_dmg_backup,B_hp,B_ac,B_attack_bonus,B_speed,B_dmg_main,B_dmg_backup,starting_distance,winner
1,50,16,8,3,1d8+4,1d8+4,46,14,8,4,1d12+4,1d8+4,0.0,A
2,33,14,8,4,1d10+4,1d8+4,31,15,8,5,1d8+4,1d6+4,2.0,A
3,40,18,7,4,1d10+4,1d8+4,50,18,8,3,1d10+4,1d8+4,7.0,B
4,31,16,8,4,1d10+4,1d6+4,31,18,8,3,1d10+4,1d6+4,10.0,A
5,45,18,8,4,1d8+4,1d6+4,43,18,7,3,1d10+4,1d6+4,5.0,B
6,38,15,7,4,1d10+4,1d6+4,30,15,7,4,1d10+4,1d6+4,9.0,A
7,31,14,7,3,1d12+4,1d8+4,32,14,5,5,1d12+4,1d8+4,7.0,B
8,31,15,6,3,1d8+4,1d6+4,32,14,8,4,1d8+4,1d8+4,0.0,A
9,37,16,8,5,1d12+4,1d8+4,42,17,6,3,1d10+4,1d6+4,4.0,A
10,40,14,8,3,1d8+4,1d6+4,34,15,8,5,1d12+4,1d8+4,3.0,A
11,45,17,7,5,1d12+4,1d8+4,38,17,6,5,1d12+4,1d8+4,6.0,A
12,43,17,6,5,1d8+4,1d8+4,43,14,6,5,1d8+4,1d8+4,8.0,A
13,35,18,5,5,1d8+4,1d6+4,34,17,7,5,1d12+4,1d6+4,5.0,A
14,50,14,7,4,1d12+4,1d8+4,44,17,7,4,1d10+4,1d8+4,0.0,B
15,34,15,6,3,1d12+4,1d6+4,30,17,5,3,1d12+4,1d8+4,5.0,B
16,30,17,5,4,1d12+4,1d6+4,34,16,8,5,1d8+4,1d6+4,10.0,A
17,50,16,6,5,1d8+4,1d6+4,46,14,5,4,1d12+4,1d8+4,9.0,A
18,44,15,7,5,1d10+4,1d8+4,34,17,8,4,1d12+4,1d8+4,4.0,A
19,38,16,5,3,1d10+4,1d6+4,33,17,6,5,1d10+4,1d6+4,10.0,A
20,44,16,5,3,1d10+4,1d6+4,34,18,6,3,1d8+4,1d6+4,2.0,B
21,38,18,8,5,1d8+4,1d8+4,45,17,6,4,1d8+4,1d6+4,3.0,A
22,42,16,8,3,1d12+4,1d8+4,49,18,8,3,1d10+4,1d8+4,3.0,B
23,42,14,7,4,1d8+4,1d6+4,47,18,5,4,1d8+4,1d8+4,8.0,B
24,34,18,6,3,1d12+4,1d6+4,31,14,8,4,1d12+4,1d8+4,1.0,B
25,38,17,6,3,1d8+4,1d6+4,39,16,5,3,1d8+4,1d6+4,1.0,A
26,34,16,8,4,1d8+4,1d6+4,31,16,5,5,1d8+4,1d6+4,10.0,B
27,43,17,8,3,1d12+4,1d8+4,35,15,7,4,1d10+4,1d8+4,4.0,A
28,38,18,7,5,1d10+4,1d6+4,46,14,8,5,1d12+4,1d6+4,6.0,B
29,46,15,7,5,1d12+4,1d8+4,39,17,7,5,1d8+4,1d8+4,9.0,A
30,47,18,6,4,1d8+4,1d6+4,32,14,7,4,1d12+4,1d6+4,7.0,B
31,47,14,8,3,1d12+4,1d6+4,50,18,8,3,1d10+4,1d6+4,1.0,B
32,47,15,7,3,1d8+4,1d8+4,49,17,7,5,1d10+4,1d6+4,0.0,B
33,43,17,6,3,1d8+4,1d8+4,35,15,5,5,1d12+4,1d6+4,8.0,B
34,50,16,7,3,1d8+4,1d8+4,41,16,7,3,1d10+4,1d8+4,7.0,B
35,49,16,5,4,1d8+4,1d6+4,34,14,6,3,1d8+4,1d6+4,0.0,B
36,49,14,8,5,1d12+4,1d8+4,33,14,5,5,1d8+4,1d8+4,9.0,A
37,47,18,5,5,1d10+4,1d8+4,47,16,7,5,1d12+4,1d8+4,4.0,B
38,37,14,7,3,1d10+4,1d8+4,47,15,5,5,1d12+4,1d8+4,9.0,B
39,39,17,5,5,1d8+4,1d6+4,31,15,5,4,1d8+4,1d6+4,8.0,A
40,46,14,5,4,1d12+4,1d8+4,50,15,5,5,1d10+4,1d8+4,3.0,B
41,38,14,7,3,1d8+4,1d6+4,44,17,8,5,1d8+4,1d8+4,8.0,B
42,48,17,8,5,1d8+4,1d6+4,44,14,8,4,1d12+4,1d8+4,4.0,B
43,49,16,7,5,1d10+4,1d6+4,33,16,8,4,1d12+4,1d6+4,6.0,B
44,39,17,5,4,1d12+4,1d6+4,47,18,5,3,1d12+4,1d6+4,3.0,B
45,44,14,6,3,1d8+4,1d6+4,30,17,7,4,1d8+4,1d8+4,1.0,B
46,50,16,7,5,1d10+4,1d8+4,42,16,8,4,1d8+4,1d8+4,0.0,B
47,32,15,7,4,1d12+4,1d6+4,38,14,5,5,1d12+4,1d8+4,2.0,A
48,48,15,6,4,1d12+4,1d8+4,39,15,8,4,1d8+4,1d8+4,7.0,B
49,31,18,5,3,1d10+4,1d8+4,46,16,8,4,1d12+4,1d8+4,0.0,A
50,49,17,7,4,1d8+4,1d6+4,47,15,8,3,1d8+4,1d8+4,1.0,A
51,34,18,7,4,1d10+4,1d6+4,32,18,7,5,1d12+4,1d8+4,1.0,A
52,39,18,5,5,1d12+4,1d6+4,46,14,7,4,1d12+4,1d8+4,9.0,B
53,36,17,5,5,1d12+4,1d6+4,46,17,7,5,1d8+4,1d8+4,8.0,A
54,30,14,6,3,1d8+4,1d6+4,30,14,5,4,1d12+4,1d6+4,7.0,A
55,43,14,8,5,1d8+4,1d6+4,40,18,8,5,1d8+4,1d8+4,6.0,B
56,31,15,5,3,1d12+4,1d8+4,46,17,6,5,1d10+4,1d8+4,2.0,B
57,39,15,6,5,1d10+4,1d6+4,36,17,6,3,1d10+4,1d6+4,2.0,B
58,36,17,5,5,1d12+4,1d8+4,41,16,6,3,1d10+4,1d6+4,8.0,B
59,39,14,5,4,1d10+4,1d6+4,30,14,5,5,1d10+4,1d8+4,8.0,A
60,32,16,7,4,1d10+4,1d8+4,47,14,5,4,1d10+4,1d8+4,8.0,B
61,33,18,7,5,1d12+4,1d6+4,42,16,8,3,1d10+4,1d8+4,6.0,B
62,42,16,5,5,1d12+4,1d8+4,47,14,5,4,1d10+4,1d8+4,1.0,B
63,46,17,6,5,1d8+4,1d8+4,38,14,6,3,1d8+4,1d8+4,7.0,A
64,30,16,5,5,1d12+4,1d6+4,47,16,7,5,1d8+4,1d8+4,5.0,A
65,34,14,7,4,1d12+4,1d6+4,34,15,5,3,1d10+4,1d6+4,0.0,A
66,50,15,8,3,1d12+4,1d6+4,33,18,7,5,1d10+4,1d6+4,3.0,A
67,36,16,7,5,1d10+4,1d8+4,47,17,6,3,1d8+4,1d8+4,8.0,A
68,43,18,6,3,1d12+4,1d6+4,31,16,6,5,1d8+4,1d6+4,4.0,A
69,38,17,5,5,1d8+4,1d6+4,50,14,6,4,1d12+4,1d8+4,3.0,A
70,42,14,8,3,1d12+4,1d6+4,31,14,5,5,1d12+4,1d8+4,9.0,B
71,35,17,5,3,1d12+4,1d6+4,31,17,5,3,1d10+4,1d8+4,4.0,B
72,49,14,5,3,1d10+4,1d8+4,46,14,5,4,1d8+4,1d6+4,4.0,A
73,34,15,5,3,1d10+4,1d6+4,40,15,8,4,1d8+4,1d6+4,0.0,A
74,48,14,5,4,1d12+4,1d8+4,39,14,7,3,1d10+4,1d6+4,6.0,A
75,47,15,7,4,1d10+4,1d6+4,35,16,6,5,1d8+4,1d6+4,7.0,B
76,41,14,6,5,1d10+4,1d8+4,47,15,5,4,1d12+4,1d8+4,10.0,A
77,38,18,5,3,1d10+4,1d6+4,50,15,8,5,1d12+4,1d6+4,7.0,A
78,41,15,6,5,1d10+4,1d8+4,48,17,5,5,1d8+4,1d8+4,10.0,A
79,38,16,7,4,1d10+4,1d8+4,45,16,7,3,1d12+4,1d8+4,0.0,B
80,46,14,5,5,1d8+4,1d6+4,39,17,6,3,1d12+4,1d6+4,9.0,B
81,45,18,6,3,1d10+4,1d6+4,48,15,7,4,1d12+4,1d8+4,2.0,B
82,43,14,8,4,1d8+4,1d6+4,30,16,6,4,1d8+4,1d6+4,2.0,B
83,50,16,5,3,1d10+4,1d8+4,38,15,8,4,1d10+4,1d6+4,0.0,B
84,30,16,7,5,1d8+4,1d6+4,32,18,7,3,1d8+4,1d6+4,4.0,A
85,36,15,7,4,1d8+4,1d6+4,32,15,6,3,1d10+4,1d8+4,3.0,B
86,34,17,8,3,1d12+4,1d8+4,45,17,5,5,1d12+4,1d8+4,1.0,B
87,43,18,7,5,1d12+4,1d6+4,39,17,7,3,1d10+4,1d8+4,0.0,A
88,47,18,7,4,1d12+4,1d6+4,49,18,7,4,1d10+4,1d6+4,6.0,B
89,49,18,7,5,1d12+4,1d8+4,42,17,7,4,1d10+4,1d6+4,4.0,A
90,47,18,6,4,1d8+4,1d6+4,50,16,7,5,1d8+4,1d8+4,8.0,B
91,46,14,7,4,1d12+4,1d6+4,43,17,6,3,1d12+4,1d6+4,1.0,A
92,39,18,7,4,1d10+4,1d6+4,32,16,6,5,1d10+4,1d6+4,7.0,B
93,45,16,6,4,1d12+4,1d8+4,35,16,8,4,1d12+4,1d8+4,7.0,A
94,33,15,7,4,1d10+4,1d6+4,34,14,7,5,1d8+4,1d6+4,8.0,A
95,30,14,6,5,1d12+4,1d8+4,30,16,6,3,1d8+4,1d8+4,2.0,B
96,47,17,6,3,1d10+4,1d8+4,42,18,6,3,1d8+4,1d8+4,1.0,B
97,42,15,7,3,1d8+4,1d8+4,30,15,7,3,1d8+4,1d8+4,9.0,A
98,34,17,5,4,1d12+4,1d6+4,41,17,6,3,1d10+4,1d6+4,9.0,B
99,36,14,5,5,1d10+4,1d6+4,30,18,5,3,1d12+4,1d8+4,5.0,A
100,35,17,7,4,1d12+4,1d8+4,43,14,7,3,1d8+4,1d8+4,4.0,B
101,48,14,7,4,1d12+4,1d6+4,48,15,8,5,1d10+4,1d8+4,2.0,A
102,49,14,5,4,1d10+4,1d6+4,48,18,6,4,1d12+4,1d8+4,1.0,B
103,37,15,5,5,1d10+4,1d6+4,50,14,5,5,1d10+4,1d6+4,4.0,B
104,37,17,7,3,1d10+4,1d6+4,34,18,5,4,1d12+4,1d6+4,8.0,A
105,35,18,5,5,1d8+4,1d8+4,37,18,8,3,1d8+4,1d8+4,1.0,A
106,44,16,8,4,1d8+4,1d6+4,50,14,7,4,1d8+4,1d8+4,4.0,A
107,30,16,7,3,1d12+4,1d6+4,30,15,7,3,1d8+4,1d8+4,4.0,B
108,38,17,7,3,1d8+4,1d6+4,50,14,5,5,1d10+4,1d8+4,10.0,B
109,44,14,6,3,1d8+4,1d8+4,32,17,6,5,1d10+4,1d6+4,0.0,A
110,37,14,8,3,1d12+4,1d6+4,39,15,5,4,1d10+4,1d6+4,4.0,A
111,34,15,6,4,1d8+4,1d8+4,38,17,8,4,1d8+4,1d6+4,9.0,A
112,47,18,5,3,1d8+4,1d6+4,35,14,8,3,1d8+4,1d8+4,6.0,B
