fight_id,actor,action,hit,critical,damage,distance,start_distance,total_rounds,max_hp,hp,ac,attack_bonus,speed,dmg_main,dmg_backup
1,SYSTEM,start_distance,,,,,0,,,,,,,,
1,A,pre_fight_stats,,,,,,,50,50,16,8,3,1d8+4,1d8+4
1,B,pre_fight_stats,,,,,,,46,46,14,8,4,1d12+4,1d8+4
1,A,atk_main,True,False,7,0,,,,,,,,,
1,B,gain_adv,,,,0,,,,,,,,,
1,A,move,,,,0,,,,,,,,,
1,B,move,,,,0,,,,,,,,,
1,A,inflict_disadv,,,,0,,,,,,,,,
1,B,gain_adv,,,,0,,,,,,,,,
1,A,gain_adv,,,,0,,,,,,,,,
1,B,gain_adv,,,,0,,,,,,,,,
1,A,move,,,,0,,,,,,,,,
1,B,move,,,,0,,,,,,,,,
1,A,atk_main_forced,True,False,8,0,,,,,,,,,
1,B,atk_main,False,False,0,0,,,,,,,,,
1,A,atk_main,True,False,11,0,,,,,,,,,
1,B,move,,,,0,,,,,,,,,
1,A,gain_adv,,,,0,,,,,,,,,
1,B,move,,,,0,,,,,,,,,
1,A,gain_adv,,,,0,,,,,,,,,
1,B,inflict_disadv,,,,0,,,,,,,,,
1,A,gain_adv,,,,0,,,,,,,,,
1,B,move,,,,0,,,,,,,,,
1,A,atk_main_forced,True,False,12,0,,,,,,,,,
1,B,atk_main_forced,True,False,9,0,,,,,,,,,
1,A,inflict_disadv,,,,0,,,,,,,,,
1,B,atk_main,False,False,0,0,,,,,,,,,
1,A,gain_adv,,,,0,,,,,,,,,
1,B,atk_main,True,False,15,0,,,,,,,,,
1,A,gain_adv,,,,0,,,,,,,,,
1,B,atk_main,True,False,15,0,,,,,,,,,
1,A,move,,,,0,,,,,,,,,
1,B,inflict_disadv,,,,0,,,,,,,,,
1,A,inflict_disadv,,,,0,,,,,,,,,
1,B,gain_adv,,,,0,,,,,,,,,
1,A,inflict_disadv,,,,0,,,,,,,,,
1,B,move,,,,0,,,,,,,,,
1,A,inflict_disadv,,,,0,,,,,,,,,
1,B,inflict_disadv,,,,0,,,,,,,,,
1,A,atk_main,True,False,6,0,,,,,,,,,
1,B,move,,,,0,,,,,,,,,
1,A,inflict_disadv,,,,0,,,,,,,,,
1,B,atk_main_forced,True,False,5,0,,,,,,,,,
1,A,move,,,,0,,,,,,,,,
1,B,gain_adv,,,,0,,,,,,,,,
1,A,atk_main_forced,True,False,8,0,,,,,,,,,
1,SYSTEM,total_rounds,,,,,,22,,,,,,,
1,A,winner,,,,,,,,,,,,,
2,SYSTEM,start_distance,,,,,2,,,,,,,,
2,A,pre_fight_stats,,,,,,,33,33,14,8,4,1d10+4,1d8+4
2,B,pre_fight_stats,,,,,,,31,31,15,8,5,1d8+4,1d6+4
2,B,atk_backup,False,False,0,2,,,,,,,,,
2,B,move_forced,,,,0,,,,,,,,,
2,A,move,,,,0,,,,,,,,,
2,B,atk_main_forced,True,False,5,0,,,,,,,,,
2,A,atk_main,False,False,0,0,,,,,,,,,
2,B,atk_main_forced,True,False,5,0,,,,,,,,,
2,A,atk_main_forced,False,False,0,0,,,,,,,,,
2,B,move,,,,0,,,,,,,,,
2,A,atk_main,True,False,7,0,,,,,,,,,
2,B,inflict_disadv,,,,0,,,,,,,,,
2,A,gain_adv,,,,0,,,,,,,,,
2,B,inflict_disadv,,,,0,,,,,,,,,
2,A,gain_adv,,,,0,,,,,,,,,
2,B,inflict_disadv,,,,0,,,,,,,,,
2,A,move,,,,0,,,,,,,,,
2,B,inflict_disadv,,,,0,,,,,,,,,
2,A,inflict_disadv,,,,0,,,,,,,,,
2,B,gain_adv,,,,0,,,,,,,,,
2,A,inflict_disadv,,,,0,,,,,,,,,
2,B,gain_adv,,,,0,,,,,,,,,
2,A,gain_adv,,,,0,,,,,,,,,
2,B,inflict_disadv,,,,0,,,,,,,,,
2,A,inflict_disadv,,,,0,,,,,,,,,
2,B,atk_main_forced,True,False,10,0,,,,,,,,,
2,A,gain_adv,,,,0,,,,,,,,,
2,B,gain_adv,,,,0,,,,,,,,,
2,A,atk_main,True,False,10,0,,,,,,,,,
2,B,atk_main_forced,True,False,8,0,,,,,,,,,
2,A,atk_main_forced,True,False,13,0,,,,,,,,,
2,B,gain_adv,,,,0,,,,,,,,,
2,A,atk_main_forced,True,False,5,0,,,,,,,,,
2,SYSTEM,total_rounds,,,,,,17,,,,,,,
2,A,winner,,,,,,,,,,,,,
3,SYSTEM,start_distance,,,,,7,,,,,,,,
3,A,pre_fight_stats,,,,,,,40,40,18,7,4,1d10+4,1d8+4
3,B,pre_fight_stats,,,,,,,50,50,18,8,3,1d10+4,1d8+4
3,B,move_forced,,,,4,,,,,,,,,
3,A,atk_backup,False,False,0,4,,,,,,,,,
3,A,move_forced,,,,0,,,,,,,,,
3,B,inflict_disadv,,,,0,,,,,,,,,
3,A,atk_main,True,False,9,0,,,,,,,,,
3,B,gain_adv,,,,0,,,,,,,,,
3,A,atk_main_forced,False,False,0,0,,,,,,,,,
3,B,atk_main_forced,True,False,14,0,,,,,,,,,
3,A,atk_main,True,False,5,0,,,,,,,,,
3,B,gain_adv,,,,0,,,,,,,,,
3,A,atk_main_forced,True,False,5,0,,,,,,,,,
3,B,atk_main_forced,True,False,7,0,,,,,,,,,
3,A,gain_adv,,,,0,,,,,,,,,
3,B,atk_main,True,False,12,0,,,,,,,,,
3,A,inflict_disadv,,,,0,,,,,,,,,
3,B,atk_main_forced,False,False,0,0,,,,,,,,,
3,A,gain_adv,,,,0,,,,,,,,,
3,B,atk_main_forced,False,False,0,0,,,,,,,,,
3,A,gain_adv,,,,0,,,,,,,,,
3,B,gain_adv,,,,0,,,,,,,,,
3,A,inflict_disadv,,,,0,,,,,,,,,
3,B,atk_main,True,False,8,0,,,,,,,,,
3,SYSTEM,total_rounds,,,,,,12,,,,,,,
3,B,winner,,,,,,,,,,,,,
4,SYSTEM,start_distance,,,,,10,,,,,,,,
4,A,pre_fight_stats,,,,,,,31,31,16,8,4,1d10+4,1d6+4
4,B,pre_fight_stats,,,,,,,31,31,18,8,3,1d10+4,1d6+4
4,A,move_forced,,,,6,,,,,,,,,
4,A,atk_backup,True,True,13,6,,,,,,,,,
4,A,move_forced,,,,2,,,,,,,,,
4,A,move,,,,0,,,,,,,,,
4,B,atk_main_forced,False,False,0,0,,,,,,,,,
4,A,gain_adv,,,,0,,,,,,,,,
4,B,move,,,,0,,,,,,,,,
4,A,atk_main_forced,True,False,13,0,,,,,,,,,
4,B,move,,,,0,,,,,,,,,
4,A,atk_main,True,True,11,0,,,,,,,,,
4,SYSTEM,total_rounds,,,,,,8,,,,,,,
4,A,winner,,,,,,,,,,,,,
5,SYSTEM,start_distance,,,,,5,,,,,,,,
5,A,pre_fight_stats,,,,,,,45,45,18,8,4,1d8+4,1d6+4
5,B,pre_fight_stats,,,,,,,43,43,18,7,3,1d10+4,1d6+4
5,B,move_forced,,,,2,,,,,,,,,
5,B,move_forced,,,,0,,,,,,,,,
5,A,move,,,,0,,,,,,,,,
5,B,move,,,,0,,,,,,,,,
5,A,inflict_disadv,,,,0,,,,,,,,,
5,B,move,,,,0,,,,,,,,,
5,A,move,,,,0,,,,,,,,,
5,B,atk_main,False,False,0,0,,,,,,,,,
5,A,atk_main,True,False,9,0,,,,,,,,,
5,B,move,,,,0,,,,,,,,,
5,A,atk_main,True,False,6,0,,,,,,,,,
5,B,gain_adv,,,,0,,,,,,,,,
5,A,gain_adv,,,,0,,,,,,,,,
5,B,move,,,,0,,,,,,,,,
5,A,move,,,,0,,,,,,,,,
5,B,atk_main_forced,True,False,13,0,,,,,,,,,
5,A,atk_main,True,False,10,0,,,,,,,,,
5,B,gain_adv,,,,0,,,,,,,,,
5,A,atk_main,True,False,10,0,,,,,,,,,
5,B,atk_main_forced,True,True,24,0,,,,,,,,,
5,A,move,,,,0,,,,,,,,,
5,B,atk_main_forced,True,False,12,0,,,,,,,,,
5,SYSTEM,total_rounds,,,,,,12,,,,,,,
5,B,winner,,,,,,,,,,,,,
6,SYSTEM,start_distance,,,,,9,,,,,,,,
6,A,pre_fight_stats,,,,,,,38,38,15,7,4,1d10+4,1d6+4
6,B,pre_fight_stats,,,,,,,30,30,15,7,4,1d10+4,1d6+4
6,A,atk_backup,False,False,0,9,,,,,,,,,
6,B,atk_backup,False,False,0,9,,,,,,,,,
6,A,atk_backup,True,False,5,9,,,,,,,,,
6,B,move_forced,,,,5,,,,,,,,,
6,B,move_forced,,,,1,,,,,,,,,
6,B,move_forced,,,,0,,,,,,,,,
6,A,inflict_disadv,,,,0,,,,,,,,,
6,B,atk_main,True,False,5,0,,,,,,,,,
6,A,atk_main,False,False,0,0,,,,,,,,,
6,B,move,,,,0,,,,,,,,,
6,A,inflict_disadv,,,,0,,,,,,,,,
