fight_id,A_hp,A_ac,A_attack_bonus,A_speed,A_dmg_main,A_dmg_backup,B_hp,B_ac,B_attack_bonus,B_speed,B_dmg_main,B_dmg_backup,starting_distance,winner
1,32,17,6,4,1d8+4,1d8+4,37,15,6,3,1d12+4,1d6+4,4.0,B
2,41,14,8,3,1d8+4,1d8+4,33,14,6,5,1d12+4,1d6+4,3.0,B
3,44,14,5,5,1d8+4,1d6+4,49,16,6,4,1d12+4,1d6+4,6.0,A
4,40,17,5,5,1d12+4,1d6+4,37,14,6,4,1d10+4,1d6+4,4.0,A
5,31,14,6,5,1d8+4,1d8+4,49,18,8,3,1d12+4,1d8+4,5.0,B
6,33,17,5,3,1d12+4,1d8+4,37,18,8,5,1d10+4,1d6+4,4.0,B
7,39,18,6,4,1d12+4,1d6+4,30,14,6,3,1d8+4,1d8+4,7.0,A
8,45,16,7,4,1d10+4,1d6+4,42,16,7,3,1d8+4,1d6+4,10.0,B
9,37,15,8,4,1d8+4,1d6+4,43,16,6,3,1d8+4,1d8+4,5.0,A
10,44,18,6,5,1d12+4,1d6+4,31,18,6,3,1d12+4,1d8+4,10.0,B
11,45,18,5,3,1d12+4,1d8+4,46,17,6,3,1d12+4,1d6+4,0.0,A
12,34,14,6,4,1d8+4,1d6+4,37,18,8,3,1d8+4,1d8+4,6.0,B
13,40,17,5,5,1d10+4,1d6+4,45,17,7,3,1d10+4,1d8+4,2.0,A
14,31,18,6,4,1d10+4,1d6+4,33,15,5,4,1d12+4,1d8+4,0.0,A
15,50,17,8,3,1d8+4,1d8+4,44,14,7,3,1d10+4,1d8+4,7.0,A
16,43,18,7,5,1d12+4,1d6+4,42,14,5,5,1d8+4,1d6+4,2.0,A
17,42,14,5,3,1d12+4,1d8+4,36,17,7,4,1d12+4,1d6+4,8.0,B
18,36,16,7,3,1d12+4,1d6+4,38,15,5,4,1d10+4,1d6+4,3.0,A
19,34,15,8,3,1d10+4,1d6+4,31,17,6,3,1d8+4,1d6+4,8.0,A
20,46,15,6,3,1d8+4,1d8+4,41,15,7,3,1d12+4,1d6+4,3.0,A
21,39,15,6,4,1d8+4,1d8+4,38,14,5,4,1d8+4,1d6+4,10.0,B
22,43,15,8,5,1d8+4,1d6+4,36,18,6,4,1d8+4,1d6+4,1.0,A
23,50,14,8,3,1d12+4,1d6+4,39,17,5,5,1d10+4,1d8+4,3.0,A
24,49,14,5,3,1d12+4,1d8+4,48,17,7,5,1d12+4,1d6+4,10.0,A
25,47,18,8,5,1d8+4,1d8+4,50,16,5,4,1d8+4,1d6+4,5.0,B
26,41,14,7,4,1d8+4,1d8+4,30,17,6,3,1d10+4,1d8+4,6.0,B
27,50,15,8,4,1d10+4,1d8+4,43,16,6,3,1d8+4,1d6+4,1.0,B
28,33,14,8,5,1d8+4,1d8+4,44,17,6,5,1d8+4,1d6+4,8.0,B
29,40,18,7,3,1d8+4,1d8+4,34,14,5,3,1d10+4,1d6+4,2.0,A
30,47,17,7,3,1d10+4,1d8+4,32,17,8,3,1d8+4,1d8+4,5.0,A
31,49,16,8,4,1d8+4,1d6+4,32,15,6,4,1d10+4,1d6+4,1.0,A
32,49,14,8,4,1d12+4,1d8+4,50,16,8,4,1d8+4,1d8+4,9.0,B
33,33,16,5,4,1d12+4,1d6+4,45,16,5,4,1d8+4,1d6+4,8.0,B
34,47,18,5,5,1d8+4,1d6+4,39,15,7,4,1d8+4,1d8+4,1.0,B
35,46,15,5,4,1d10+4,1d6+4,50,18,7,5,1d12+4,1d8+4,7.0,B
36,34,17,6,3,1d8+4,1d6+4,48,18,8,5,1d8+4,1d6+4,7.0,B
37,40,15,5,5,1d8+4,1d6+4,43,15,5,4,1d10+4,1d6+4,9.0,B
38,36,15,8,4,1d10+4,1d8+4,50,14,5,5,1d8+4,1d6+4,1.0,B
39,44,15,8,3,1d12+4,1d6+4,50,18,5,4,1d12+4,1d8+4,4.0,A
40,44,14,8,3,1d12+4,1d6+4,43,18,6,4,1d10+4,1d6+4,0.0,B
41,34,14,6,5,1d12+4,1d8+4,38,16,7,3,1d10+4,1d8+4,9.0,B
42,43,14,8,5,1d12+4,1d6+4,41,18,5,3,1d10+4,1d8+4,10.0,B
43,45,18,8,4,1d12+4,1d6+4,39,14,5,4,1d12+4,1d8+4,4.0,A
44,41,14,6,3,1d8+4,1d6+4,41,17,6,3,1d12+4,1d8+4,4.0,B
45,43,14,8,5,1d8+4,1d6+4,37,14,8,4,1d8+4,1d8+4,10.0,A
46,46,14,5,3,1d10+4,1d6+4,35,18,7,5,1d8+4,1d8+4,7.0,B
47,50,18,7,4,1d12+4,1d6+4,38,16,7,3,1d8+4,1d6+4,1.0,A
48,32,17,5,4,1d12+4,1d6+4,30,18,6,5,1d10+4,1d6+4,9.0,B
49,45,14,7,4,1d10+4,1d8+4,33,15,6,4,1d10+4,1d8+4,6.0,A
50,30,14,7,3,1d12+4,1d6+4,32,14,7,3,1d8+4,1d6+4,5.0,B
51,37,17,7,3,1d10+4,1d8+4,50,14,8,3,1d8+4,1d8+4,9.0,B
52,50,14,5,3,1d10+4,1d6+4,34,15,7,5,1d8+4,1d6+4,5.0,A
53,36,17,8,4,1d12+4,1d8+4,31,15,5,3,1d10+4,1d8+4,7.0,A
